Z,Symbol,Systematic Name,Theoretical Zone,Idealized Slot,Block,Ψ Note,MQGT–SCF Role,Caution
162,Uhb,Unhexbium,7d flow-metal return,12,d,Idealized 7d superheavy transition filling; speculative,Variable-valence flow-metal conductor,Not experimentally confirmed
163,Uht,Unhextrium,8p closure,13,p,Idealized 8p closure zone; speculative,Bonding network / life-chemistry logic,Not experimentally confirmed
164,Uhq,Unhexquadium,8p closure,14,p,Idealized 8p closure zone; speculative,Bonding network / life-chemistry logic,Not experimentally confirmed
165,Uhp,Unhexpentium,8p closure,15,p,Idealized 8p closure zone; speculative,Bonding network / life-chemistry logic,Not experimentally confirmed
166,Uhh,Unhexhexium,8p closure,16,p,Idealized 8p closure zone; speculative,Bonding network / life-chemistry logic,Not experimentally confirmed
167,Uhs,Unhexseptium,8p closure,17,p,Idealized 8p closure zone; speculative,Bonding network / life-chemistry logic,Not experimentally confirmed
168,Uho,Unhexoctium,8p closure,18,p,Idealized 8p closure zone; speculative,Bonding network / life-chemistry logic,Not experimentally confirmed
169,Uhe,Unhexennium,9s restart,1,s,Idealized 9s restart; extreme extrapolation,Ion-source / charge-gradient node,Not experimentally confirmed
170,Usn,Unseptnilium,9s restart,2,s,Idealized 9s restart; extreme extrapolation,Ion-source / charge-gradient node,Not experimentally confirmed
171,Usu,Unseptunium,supercritical boundary,Ω1,x-boundary,Supercritical 6g/9p/mixed boundary; no consensus,Supercritical boundary: chemistry may break down,Not experimentally confirmed
172,Usb,Unseptbium,supercritical boundary,Ω2,x-boundary,Supercritical 6g/9p/mixed boundary; no consensus,Supercritical boundary: chemistry may break down,Not experimentally confirmed
173,Ust,Unsepttrium,supercritical boundary,Ω3,x-boundary,Supercritical 6g/9p/mixed boundary; no consensus,Supercritical boundary: chemistry may break down,Not experimentally confirmed
174,Usq,Unseptquadium,supercritical boundary,Ω4,x-boundary,Supercritical 6g/9p/mixed boundary; no consensus,Supercritical boundary: chemistry may break down,Not experimentally confirmed
175,Usp,Unseptpentium,supercritical boundary,Ω5,x-boundary,Supercritical 6g/9p/mixed boundary; no consensus,Supercritical boundary: chemistry may break down,Not experimentally confirmed
176,Ush,Unsepthexium,supercritical boundary,Ω6,x-boundary,Supercritical 6g/9p/mixed boundary; no consensus,Supercritical boundary: chemistry may break down,Not experimentally confirmed
177,Uss,Unseptseptium,supercritical boundary,Ω7,x-boundary,Supercritical 6g/9p/mixed boundary; no consensus,Supercritical boundary: chemistry may break down,Not experimentally confirmed
178,Uso,Unseptoctium,supercritical boundary,Ω8,x-boundary,Supercritical 6g/9p/mixed boundary; no consensus,Supercritical boundary: chemistry may break down,Not experimentally confirmed
179,Use,Unseptennium,supercritical boundary,Ω9,x-boundary,Supercritical 6g/9p/mixed boundary; no consensus,Supercritical boundary: chemistry may break down,Not experimentally confirmed
180,Uon,Unoctnilium,supercritical boundary,Ω10,x-boundary,Supercritical 6g/9p/mixed boundary; no consensus,Supercritical boundary: chemistry may break down,Not experimentally confirmed
181,Uou,Unoctunium,supercritical boundary,Ω11,x-boundary,Supercritical 6g/9p/mixed boundary; no consensus,Supercritical boundary: chemistry may break down,Not experimentally confirmed
182,Uob,Unoctbium,supercritical boundary,Ω12,x-boundary,Supercritical 6g/9p/mixed boundary; no consensus,Supercritical boundary: chemistry may break down,Not experimentally confirmed
183,Uot,Unocttrium,supercritical boundary,Ω13,x-boundary,Supercritical 6g/9p/mixed boundary; no consensus,Supercritical boundary: chemistry may break down,Not experimentally confirmed
184,Uoq,Unoctquadium,supercritical boundary,Ω14,x-boundary,Supercritical 6g/9p/mixed boundary; no consensus,Supercritical boundary: chemistry may break down,Not experimentally confirmed
